designation,matiere / composition,usage,caracteristiques,quantite,unite,pays d'origine,valeur,devise
Tempered glass food storage container,Borosilicate glass with polypropylene lid,Household food storage,"Rectangular 1.2 litre container, heat resistant, reusable, with snap-lock plastic lid",24,PCE,Turkey,8.50,USD
Stainless steel vacuum flask,Stainless steel double wall with silicone seal,Hot and cold beverage storage,"Insulated 750 ml flask, vacuum sealed, reusable, supplied empty",18,PCE,China,12.75,USD
Electric bicycle with lithium battery,Aluminium frame steel parts and lithium-ion battery,Personal urban transport,"250 W electric motor, pedal assistance, 36 V removable battery, complete bicycle",6,PCE,Netherlands,980,EUR
Monocrystalline solar photovoltaic module,Silicon cells tempered glass aluminium frame,Electricity generation,"450 W photovoltaic panel, 144 half cells, without inverter or mounting structure",40,PCE,China,115,USD
Centrifugal water pump,Cast iron housing stainless steel shaft copper winding,Water transfer,"Electric centrifugal pump, 2.2 kW, 220 V, inlet and outlet 50 mm",8,PCE,Italy,265,EUR
Split-system air conditioner,Copper aluminium steel and plastic,Room cooling and heating,"Wall-mounted split unit, 12000 BTU per hour, inverter compressor, supplied indoor and outdoor units",10,SET,Thailand,410,USD
LED household light bulb,Plastic aluminium and electronic components,Indoor lighting,"E27 screw base, 12 W, 220 V, warm white, self-contained LED lamp",100,PCE,China,2.40,USD
Wooden office writing desk,Engineered wood with steel legs,Office furniture,"Freestanding desk, 140 x 70 x 75 cm, two drawers, supplied unassembled",12,PCE,Poland,145,EUR
Cotton terry bath towel,100 percent cotton,Personal drying after bathing,"Woven terry towel, 70 x 140 cm, hemmed edges, not embroidered",60,PCE,Pakistan,6.20,USD
Disposable nitrile examination gloves,Nitrile rubber,Medical examination protection,"Powder-free non-sterile gloves, ambidextrous, box of 100 gloves, size medium",50,BOX,Malaysia,5.80,USD
Glazed ceramic floor tile,Ceramic stoneware,Interior floor covering,"Porcelain stoneware tile, glazed, 60 x 60 cm, water absorption below 0.5 percent",500,M2,Spain,14.50,EUR
Aluminium cooking pot with lid,Aluminium body with glass lid and plastic handles,Household cooking,"Non-electric cooking pot, 5 litre capacity, non-stick interior coating, supplied with lid",30,PCE,Egypt,18,USD
Polypropylene woven packing sack,Woven polypropylene strip,Packaging agricultural products,"Open-mouth sack, 50 kg capacity, laminated exterior, without printed branding",1000,PCE,India,0.42,USD
Electric hair clipper,Plastic housing steel cutting blades and electric motor,Hair cutting,"Rechargeable clipper, 5 V USB charging, supplied with four guide combs",25,PCE,China,16.90,USD
Countertop microwave oven,Steel plastic glass and electronic components,Heating and cooking food,"Freestanding microwave oven, 25 litre capacity, 900 W output, no grill function",15,PCE,Malaysia,92,USD
Frozen boneless chicken breast,Chicken meat,Human consumption,"Raw boneless skinless breast cuts, frozen at minus 18 degrees Celsius, packed in 10 kg cartons",2000,KG,Brazil,3.10,USD
Roasted coffee beans,Roasted arabica coffee beans,Beverage preparation,"Whole roasted beans, not decaffeinated, retail bags of 1 kg, no flavouring",300,KG,Ethiopia,9.80,USD
Milk chocolate bar,Sugar cocoa butter cocoa mass and milk powder,Human consumption,"Solid milk chocolate bar, 100 g retail pack, no filling, cocoa content 32 percent",1200,PCE,Switzerland,1.65,CHF
PVC insulated copper electrical cable,Copper conductor and PVC insulation,Fixed electrical wiring,"Three-core cable, 2.5 square millimetre conductor, 450/750 V, without connectors",1000,M,United Arab Emirates,1.20,USD
Deep-groove ball bearing,Chrome steel,Rotating machinery component,"Single-row radial ball bearing, 25 mm bore, 52 mm outside diameter, sealed both sides",80,PCE,Japan,7.90,USD
Passenger car pneumatic tyre,Vulcanised rubber with textile and steel reinforcement,Road vehicle replacement part,"New radial tubeless tyre, size 205/55 R16, load index 91, for passenger motor cars",40,PCE,South Korea,58,USD
Spiral-bound paper notebook,Paperboard cover and lined paper,Writing and school use,"A4 notebook, 160 ruled pages, metal spiral binding, no calendar or printed educational content",120,PCE,France,3.75,EUR
Industrial safety helmet,High-density polyethylene shell with textile suspension,Head protection,"Protective helmet with adjustable harness and chin strap, for construction work, non-motorcycle",50,PCE,Germany,11.50,EUR
Household insecticide aerosol,Pyrethroid insecticide formulation in pressurised metal can,Indoor insect control,"Ready-to-use aerosol spray, 400 ml can, for mosquitoes and flies, retail packed",72,PCE,Kenya,4.30,USD
Disposable medical syringe,Polypropylene barrel rubber seal and stainless steel needle,Medical injection,"Sterile single-use syringe, 10 ml capacity, supplied with hypodermic needle, individually packed",500,PCE,India,0.18,USD
